Nombre;Apellidos;Iniciales;Usuario;Contrasena;Correo;Direccion;CodigoPostal;Ciudad;Provincia;Pais;Departamento;Telefono;PuestoTrabajo;Empresa;Imagen;Descripcion
Monkey;D. Luffy;MDL;mluffy;Reypirata100!;reydelospiratas@gmail.com;Villa Foosha, Reino de Goa, East Blue;08001;Barcelona;Barcelona;ES;Admins;655452110;Capitan;ciberprofe;luffy.jpg;Capitán de los Piratas de Sombrero de Paja y Emperador del Mar
Roronoa;Zoro;RZ;rzoro;Espadachin112!;cazapirataszoro@hotmail.com;Villa Shimotsuki, East Blue;08001;Barcelona;Barcelona;ES;Informatica;648567012;Espadachin;ciberprofe;zoro.jpg;Numero 2 de los Piratas de Sombrero de Paja y Cazarecompensas
Ladrona;Nami;LN;lnami;Amoaldinero123!;namilaladrona@protonmail.me;Villa Cocoyasi, East Blue;08001;Barcelona;Barcelona;ES;Contabilidad;683202044;Navegante;ciberprofe;nami.jpg;Numero 3 de los Piratas de Sombrero de Paja y Ladrona
Sogeking;Usopp;SU;susopp;Francotirador300!;miedicausopp@msn.es;Villa Syrup, East Blue;08001;Barcelona;Barcelona;ES;Marketing;677325698;Francotirador;ciberprofe;usopp.jpg;Numero 4 de los Piratas de Sombrero de Paja y Francotirador
Vinsmoke;Sanji;VS;vsanji;Cocinero444!;piernanegra@icloud.com;Reino de Germa, North Blue;08001;Barcelona;Barcelona;ES;Comercial;600967536;Cocinero;ciberprofe;sanji.jpg;Numero 5 de los Piratas de Sombrero de Paja y Cocinero
Tony;Chopper;TC;tchopper;Medico500!;elrenochopper@yahoo.com;Isla de Drum, Grand Line;08001;Barcelona;Barcelona;ES;Informatica;630679177;Medico;ciberprofe;chopper.jpg;Numero 6 de los Piratas de Sombrero de Paja y Medico
Nico;Robin;NR;nrobin;Poneglyph899!;nicorobin@gmail.com;Isla Ohara, West Blue;08001;Barcelona;Barcelona;ES;Administracion;699234021;Arqueologa;ciberprofe;robin.jpg;Numero 7 de los Piratas de Sombrero de Paja y Arqueologa
Cyborg;Franky;CF;cfranky;Carpintero911!;thousandsunny@outlook.es;Water 7, Grand Line;08001;Barcelona;Barcelona;ES;Logistica;679403056;Carpintero;ciberprofe;franky.jpg;Numero 8 de los Piratas de Sombrero de Paja y Cyborg
Soulking;Brook;SB;sbrook;Esqueleto666!;soulkingbrook@hotmail.com;Florian Triangle, Grand Line;08001;Barcelona;Barcelona;ES;Comercial;699334567;Musico;ciberprofe;brook.jpg;Numero 9 de los Piratas de Sombrero de Paja y Rey del Soul
Nefertari;Vivi;NV;nvivi;Princesa950!;viviarabasta@gmail.com;Isla de Arabasta, Grand Line;48001;Bilbao;Vizcaya;ES;Comercial;633456781;Princesa;ciberprofe;vivi.jpg;Princesa del Reino de Arabasta y Cazarecompensas 
Portgas;D. Ace;PDA;pace;Puñofuego765!;purofuegoace@gmail.com;Isla de Baterilla, South Blue;48001;Bilbao;Vizcaya;ES;Admins;699224519;Comandante;ciberprofe;ace.jpg;Comandante de la 2a división de los Piratas de Barbablanca
Oso;Bepo;OB;obepo;Tuosito638!;tuositobepo@hotmail.com;Isla de Zou, New World;28001;Madrid;Madrid;ES;Administracion;688212134;Navegante;ciberprofe;bepo.jpg;Navegante de los piratas de Heart
Trafalgar ;D. Law;TDL;tlaw;Thedoctor456!;doctorlaw@protonmail.me;Flavence, North Blue;28001;Madrid;Madrid;ES;Admins;648201900;Capitan;ciberprofe;law.jpg;Capitan de los Piratas Heart, Doctor y Espadachin
Eustass;Kid;EK;ekid;Brazorobot455!;eustasskid@msn.es;Desconocido, South Blue;41001;Sevilla;Sevilla;ES;Informatica;699112347;Capitan;ciberprofe;kid.jpg;Capitan de los Piratas de Kid y Cyborg
Princesa;Perona;PP;pperona;Fantasma110!;fantasmaperona@icloud.com;Isla Kuraigana, Grand Line;41001;Sevilla;Sevilla;ES;Administracion;633212345;Comandante;ciberprofe;perona.jpg;Miembro de los Piratas de Thriller Bark y Princesa Fantasma
